seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	16972609	16972617	9	*	X00261	84809	16944751	16971178	26428	-	1430	upstream	1430	CROCCP2
chr1	18433479	18433513	35	*	X00269	84966	18434240	18704977	270738	+	726	upstream	726	IGSF21
chr1	18433516	18433525	10	*	X00270	84966	18434240	18704977	270738	+	714	upstream	714	IGSF21
chr1	18955658	18955667	10	*	X00277	5081	18957500	19075360	117861	+	1832	upstream	1832	PAX7
chr1	19991386	19991394	9	*	X00297	3362	19991780	20006055	14276	+	385	upstream	385	HTR6
chr1	20617660	20617670	11	*	X00300	127731	20617412	20681387	63976	+	0	inside	247	VWA5B1
chr1	20617673	20617691	19	*	X00301	127731	20617412	20681387	63976	+	0	inside	260	VWA5B1
chr1	20959361	20959374	14	*	X00314	65018	20959948	20978004	18057	+	573	upstream	573	PINK1
chr1	21672560	21672573	14	*	X00319	1889	21543740	21672034	128295	-	525	upstream	525	ECE1
chr1	21672598	21672607	10	*	X00320	1889	21543740	21672034	128295	-	563	upstream	563	ECE1
chr1	21672632	21672643	12	*	X00321	1889	21543740	21672034	128295	-	597	upstream	597	ECE1
chr1	21672668	21672707	40	*	X00322	1889	21543740	21672034	128295	-	633	upstream	633	ECE1
chr1	21672970	21672981	12	*	X00323	1889	21543740	21672034	128295	-	935	upstream	935	ECE1
chr1	21673006	21673015	10	*	X00324	1889	21543740	21672034	128295	-	971	upstream	971	ECE1
chr1	21673080	21673091	12	*	X00325	1889	21543740	21672034	128295	-	1045	upstream	1045	ECE1
chr1	21673116	21673129	14	*	X00326	1889	21543740	21672034	128295	-	1081	upstream	1081	ECE1
chr1	21673290	21673302	13	*	X00327	1889	21543740	21672034	128295	-	1255	upstream	1255	ECE1
chr1	22889673	22889682	10	*	X00334	2046	22890004	22930087	40084	+	321	upstream	321	EPHA8
chr1	22889827	22889840	14	*	X00335	2046	22890004	22930087	40084	+	163	upstream	163	EPHA8
chr1	22889980	22889989	10	*	X00336	2046	22890004	22930087	40084	+	14	upstream	14	EPHA8
chr1	22889998	22890007	10	*	X00337	2046	22890004	22930087	40084	+	0	overlapStart	0	EPHA8
chr1	23751241	23751249	9	*	X00360	6920	23707555	23751261	43707	-	0	inside	11	TCEA3
chr1	23751670	23751717	48	*	X00361	6920	23707555	23751261	43707	-	408	upstream	408	TCEA3
chr1	23751762	23751770	9	*	X00362	6920	23707555	23751261	43707	-	500	upstream	500	TCEA3
chr1	25943743	25943753	11	*	X00368	57134	25943959	26111258	167300	+	205	upstream	205	MAN1C1
chr1	27963231	27963254	24	*	X00379	2268	27938801	27961727	22927	-	1503	upstream	1503	FGR
chr1	27963370	27963380	11	*	X00380	2268	27938801	27961727	22927	-	1642	upstream	1642	FGR
chr1	32081712	32081742	31	*	X00398	3061	32083301	32098119	14819	+	1558	upstream	1558	HCRTR1
chr1	33351138	33351146	9	*	X00412	3208	33352098	33360247	8150	+	951	upstream	951	HPCA
chr1	37500136	37500149	14	*	X00446	2899	37261128	37499844	238717	-	291	upstream	291	GRIK3
chr1	37500233	37500244	12	*	X00447	2899	37261128	37499844	238717	-	388	upstream	388	GRIK3
chr1	37939113	37939143	31	*	X00453	80149	37940119	37949978	9860	+	975	upstream	975	ZC3H12A
chr1	38231344	38231390	47	*	X00459	284656	38179553	38230824	51272	-	519	upstream	519	EPHA10
chr1	38232245	38232254	10	*	X00460	284656	38179553	38230824	51272	-	1420	upstream	1420	EPHA10
chr1	38232277	38232286	10	*	X00461	284656	38179553	38230824	51272	-	1452	upstream	1452	EPHA10
chr1	40137835	40137843	9	*	X00472	84618	40124793	40137710	12918	-	124	upstream	124	NT5C1A
chr1	40203640	40203665	26	*	X00481	10450	40204517	40229586	25070	+	851	upstream	851	PPIE
chr1	40254854	40254862	9	*	X00482	656	40223903	40254533	30631	-	320	upstream	320	BMP8B
chr1	40782907	40782916	10	*	X00483	1298	40766163	40783060	16898	-	0	inside	143	COL9A2
chr1	41249076	41249084	9	*	X00485	9132	41249684	41306124	56441	+	599	upstream	599	KCNQ4
chr1	45308381	45308392	12	*	X00513	8643	45285516	45308616	23101	-	0	inside	223	PTCH2
chr1	53308122	53308132	11	*	X00588	440590	53308183	53360247	52065	+	50	upstream	50	ZYG11A
chr1	53308380	53308389	10	*	X00589	440590	53308183	53360247	52065	+	0	inside	196	ZYG11A
chr1	55445596	55445634	39	*	X00604	199964	55446465	55457966	11502	+	830	upstream	830	TMEM61
chr1	55464578	55464587	10	*	X00605	7809	55464617	55474465	9849	+	29	upstream	29	BSND
chr1	59043712	59043723	12	*	X00615	4070	59041095	59043166	2072	-	545	upstream	545	TACSTD2
chr1	59043726	59043737	12	*	X00616	4070	59041095	59043166	2072	-	559	upstream	559	TACSTD2
chr1	59248874	59248882	9	*	X00618	100131060	59250823	59365384	114562	+	1940	upstream	1940	LINC01135
chr1	62784935	62784943	9	*	X00632	163782	62701837	62785083	83247	-	0	inside	139	KANK4
chr1	63784717	63784725	9	*	X00635	199899	63624754	63782901	158148	-	1815	upstream	1815	LINC00466
chr1	64935068	64935077	10	*	X00644	57685	64936476	65158741	222266	+	1398	upstream	1398	CACHD1
chr1	66257599	66257617	19	*	X00652	5142	66258193	66840262	582070	+	575	upstream	575	PDE4B
chr1	68699787	68699795	9	*	X00661	79971	68564142	68698284	134143	-	1502	upstream	1502	WLS
chr1	70032657	70032665	9	*	X00670	57554	70032868	70589171	556304	+	202	upstream	202	LRRC7
chr1	70032703	70032745	43	*	X00671	57554	70032868	70589171	556304	+	122	upstream	122	LRRC7
chr1	71512323	71512331	9	*	X00674	100132618	71512189	71532865	20677	+	0	inside	133	ZRANB2-AS1
chr1	75139626	75139638	13	*	X00675	127254	75033795	75139422	105628	-	203	upstream	203	ERICH3
chr1	77747340	77747348	9	*	X00682	26289	77747662	78025654	277993	+	313	upstream	313	AK5
chr1	91183046	91183054	9	*	X00698	343472	91177579	91182794	5216	-	251	upstream	251	BARHL2
chr1	92495483	92495492	10	*	X00704	253152	92495533	92529093	33561	+	40	upstream	40	EPHX4
chr1	98513677	98513713	37	*	X00714	406928	98511626	98511727	102	-	1949	upstream	1949	MIR137
chr1	108506983	108506993	11	*	X00721	100873946	108507065	108537229	30165	+	71	upstream	71	VAV3-AS1
chr1	109656324	109656332	9	*	X00723	127003	109648573	109656479	7907	-	0	inside	146	C1orf194
chr1	109656324	109656332	9	*	X00723	57535	109656585	109749403	92819	+	252	upstream	252	ELAPOR1
chr1	110052994	110053037	44	*	X00724	57463	110049446	110052336	2891	-	657	upstream	657	AMIGO1
chr1	110453342	110453350	9	*	X00726	1435	110453233	110473616	20384	+	0	inside	108	CSF1
chr1	110453360	110453378	19	*	X00727	1435	110453233	110473616	20384	+	0	inside	126	CSF1
chr1	112532166	112532174	9	*	X00738	3752	112318454	112531777	213324	-	388	upstream	388	KCND3
chr1	112532166	112532174	9	*	X00738	643355	112533190	112541463	8274	+	1015	upstream	1015	LINC01750
chr1	112532828	112532842	15	*	X00739	3752	112318454	112531777	213324	-	1050	upstream	1050	KCND3
chr1	112532828	112532842	15	*	X00739	643355	112533190	112541463	8274	+	347	upstream	347	LINC01750
chr1	112532845	112532853	9	*	X00740	3752	112318454	112531777	213324	-	1067	upstream	1067	KCND3
chr1	112532845	112532853	9	*	X00740	643355	112533190	112541463	8274	+	336	upstream	336	LINC01750
chr1	112532862	112532871	10	*	X00741	3752	112318454	112531777	213324	-	1084	upstream	1084	KCND3
chr1	112532862	112532871	10	*	X00741	643355	112533190	112541463	8274	+	318	upstream	318	LINC01750
chr1	112532978	112532986	9	*	X00742	3752	112318454	112531777	213324	-	1200	upstream	1200	KCND3
chr1	112532978	112532986	9	*	X00742	643355	112533190	112541463	8274	+	203	upstream	203	LINC01750
chr1	112533126	112533139	14	*	X00743	3752	112318454	112531777	213324	-	1348	upstream	1348	KCND3
chr1	112533126	112533139	14	*	X00743	643355	112533190	112541463	8274	+	50	upstream	50	LINC01750
chr1	113008069	113008089	21	*	X00744	7482	113010040	113063910	53871	+	1950	upstream	1950	WNT2B
chr1	115881131	115881139	9	*	X00756	4803	115828537	115880857	52321	-	273	upstream	273	NGF
chr1	116184257	116184265	9	*	X00757	81839	116184574	116240845	56272	+	308	upstream	308	VANGL1
chr1	116383713	116383721	9	*	X00759	4808	116378999	116383747	4749	-	0	inside	25	NHLH2
chr1	145476168	145476181	14	*	X00769	128077	145477085	145499091	22007	+	903	upstream	903	LIX1L
chr1	145476192	145476205	14	*	X00770	128077	145477085	145499091	22007	+	879	upstream	879	LIX1L
chr1	151120427	151120439	13	*	X00777	10500	151104163	151119140	14978	-	1286	upstream	1286	SEMA6C
chr1	151811164	151811173	10	*	X00778	100132111	151810945	151816641	5697	+	0	inside	218	C2CD4D-AS1
chr1	153651295	153651307	13	*	X00783	4881	153651164	153666468	15305	+	0	inside	130	NPR1
chr1	154475050	154475058	9	*	X00784	126669	154451954	154474526	22573	-	523	upstream	523	SHE
chr1	154475480	154475491	12	*	X00785	126669	154451954	154474526	22573	-	953	upstream	953	SHE
chr1	155098976	155098987	12	*	X00794	1942	155100349	155107386	7038	+	1361	upstream	1361	EFNA1
chr1	155099005	155099014	10	*	X00795	1942	155100349	155107386	7038	+	1334	upstream	1334	EFNA1
chr1	155099444	155099452	9	*	X00796	1942	155100349	155107386	7038	+	896	upstream	896	EFNA1
chr1	155099583	155099591	9	*	X00797	1942	155100349	155107386	7038	+	757	upstream	757	EFNA1
chr1	155099844	155099854	11	*	X00798	1942	155100349	155107386	7038	+	494	upstream	494	EFNA1
chr1	156830262	156830270	9	*	X00816	3645	156810665	156828712	18048	-	1549	upstream	1549	INSRR
chr1	157962730	157962739	10	*	X00830	55243	157963063	158065844	102782	+	323	upstream	323	KIRREL1
chr1	157962744	157962772	29	*	X00831	55243	157963063	158065844	102782	+	290	upstream	290	KIRREL1
chr1	161228726	161228734	9	*	X00835	654790	161228517	161255240	26724	+	0	inside	208	PCP4L1
chr1	165325971	165325979	9	*	X00858	4009	165171104	165325952	154849	-	18	upstream	18	LMX1A
chr1	166944275	166944289	15	*	X00864	387597	166882441	166944561	62121	-	0	inside	271	ILDR2
chr1	166944275	166944289	15	*	X00864	84944	166944819	166991447	46629	+	529	upstream	529	MAEL
chr1	166944304	166944312	9	*	X00865	387597	166882441	166944561	62121	-	0	inside	248	ILDR2
chr1	166944304	166944312	9	*	X00865	84944	166944819	166991447	46629	+	506	upstream	506	MAEL
chr1	173178393	173178401	9	*	X00878	7292	173152870	173176471	23602	-	1921	upstream	1921	TNFSF4
chr1	177139531	177139565	35	*	X00888	57795	177140633	177251558	110926	+	1067	upstream	1067	BRINP2
chr1	180197614	180197623	10	*	X00898	89884	180199433	180244188	44756	+	1809	upstream	1809	LHX4
chr1	180198349	180198357	9	*	X00899	89884	180199433	180244188	44756	+	1075	upstream	1075	LHX4
chr1	181451475	181451491	17	*	X00905	777	181452686	181775921	323236	+	1194	upstream	1194	CACNA1E
chr1	182573759	182573767	9	*	X00909	6004	182567758	182573548	5791	-	210	upstream	210	RGS16
chr1	182574280	182574311	32	*	X00910	6004	182567758	182573548	5791	-	731	upstream	731	RGS16
chr1	182574313	182574325	13	*	X00911	6004	182567758	182573548	5791	-	764	upstream	764	RGS16
chr1	182757064	182757095	32	*	X00913	80896	182758584	182799519	40936	+	1488	upstream	1488	NPL
chr1	184006890	184006926	37	*	X00917	23127	183898796	184006878	108083	-	11	upstream	11	COLGALT2
chr1	184944019	184944028	10	*	X00918	116496	184760159	184943718	183560	-	300	upstream	300	NIBAN1
chr1	184944031	184944041	11	*	X00919	116496	184760159	184943718	183560	-	312	upstream	312	NIBAN1
chr1	201082150	201082158	9	*	X00926	779	201008640	201081694	73055	-	455	upstream	455	CACNA1S
chr1	201439779	201439810	32	*	X00929	23612	201434607	201438299	3693	-	1479	upstream	1479	PHLDA3
chr1	201476508	201476516	9	*	X00932	1465	201452658	201476387	23730	-	120	upstream	120	CSRP1
chr1	203096683	203096691	9	*	X00939	134	203096836	203136533	39698	+	144	upstream	144	ADORA1
chr1	203275925	203275949	25	*	X00943	730227	203267886	203274453	6568	-	1471	upstream	1471	LINC01136
chr1	203275960	203275971	12	*	X00944	730227	203267886	203274453	6568	-	1506	upstream	1506	LINC01136
chr1	203275978	203276003	26	*	X00945	730227	203267886	203274453	6568	-	1524	upstream	1524	LINC01136
chr1	204123226	204123238	13	*	X00948	55224	204100190	204121307	21118	-	1918	upstream	1918	ETNK2
chr1	204123249	204123257	9	*	X00949	55224	204100190	204121307	21118	-	1941	upstream	1941	ETNK2
chr1	204654973	204654983	11	*	X00952	10446	204586303	204654597	68295	-	375	upstream	375	LRRN2
chr1	207097114	207097123	10	*	X00965	9214	207076631	207095378	18748	-	1735	upstream	1735	FCMR
chr1	208084400	208084409	10	*	X00979	947	208059883	208084683	24801	-	0	inside	273	CD34
chr1	209848057	209848084	28	*	X00994	50486	209848670	209849735	1066	+	585	upstream	585	G0S2
chr1	209848279	209848287	9	*	X00995	50486	209848670	209849735	1066	+	382	upstream	382	G0S2
chr1	209848502	209848511	10	*	X00996	50486	209848670	209849735	1066	+	158	upstream	158	G0S2
chr1	210407640	210407653	14	*	X01005	574036	210404804	210407466	2663	-	173	upstream	173	SERTAD4-AS1
chr1	212874386	212874394	9	*	X01015	55509	212859759	212873327	13569	-	1058	upstream	1058	BATF3
chr1	214159551	214159561	11	*	X01022	5629	214161278	214214847	53570	+	1716	upstream	1716	PROX1
chr1	214159853	214159869	17	*	X01023	5629	214161278	214214847	53570	+	1408	upstream	1408	PROX1
chr1	217312654	217312663	10	*	X01039	2104	216676588	217311097	634510	-	1556	upstream	1556	ESRRG
chr1	218518315	218518328	14	*	X01040	7042	218518676	218617961	99286	+	347	upstream	347	TGFB2
chr1	218519387	218519443	57	*	X01041	728463	218517538	218519020	1483	-	366	upstream	366	TGFB2-AS1
chr1	223538956	223538966	11	*	X01053	55061	223394161	223537544	143384	-	1411	upstream	1411	SUSD4
chr1	223566122	223566130	9	*	X01055	164127	223566715	223568812	2098	+	584	upstream	584	CCDC185
chr1	223566306	223566315	10	*	X01056	164127	223566715	223568812	2098	+	399	upstream	399	CCDC185
chr1	224803733	224803741	9	*	X01062	149111	224804179	224928249	124071	+	437	upstream	437	CNIH3
chr1	226735154	226735165	12	*	X01065	375057	226736501	226796915	60415	+	1335	upstream	1335	STUM
chr1	228606143	228606151	9	*	X01100	51127	228595636	228604583	8948	-	1559	upstream	1559	TRIM17
chr1	229406753	229406753	1	*	X01131	5867	229406809	229441640	34832	+	55	upstream	55	RAB4A
chr1	231297321	231297329	9	*	X01145	440730	231298674	231357314	58641	+	1344	upstream	1344	TRIM67
chr1	231561409	231561417	9	*	X01150	54583	231499497	231560790	61294	-	618	upstream	618	EGLN1
chr1	236848918	236848932	15	*	X01163	88	236849770	236927558	77789	+	837	upstream	837	ACTN2
chr1	241520730	241520739	10	*	X01174	6000	240931554	241520478	588925	-	251	upstream	251	RGS7
chr1	244080584	244080597	14	*	X01178	339529	244080704	244210619	129916	+	106	upstream	106	LINC02774
chr1	245318116	245318128	13	*	X01183	55083	245318287	245866428	548142	+	158	upstream	158	KIF26B
chr1	248006154	248006165	12	*	X01187	391189	248004230	248005198	969	-	955	upstream	955	OR11L1
chr1	248006168	248006179	12	*	X01188	391189	248004230	248005198	969	-	969	upstream	969	OR11L1
chr1	248006182	248006202	21	*	X01189	391189	248004230	248005198	969	-	983	upstream	983	OR11L1
chr10	3108680	3108688	9	*	X01213	5214	3109712	3178997	69286	+	1023	upstream	1023	PFKP
chr10	3109091	3109099	9	*	X01214	5214	3109712	3178997	69286	+	612	upstream	612	PFKP
chr10	6621443	6621451	9	*	X01220	439949	6622387	6627323	4937	+	935	upstream	935	PRKCQ-AS1
chr10	8096152	8096160	9	*	X01226	2625	8096667	8117164	20498	+	506	upstream	506	GATA3
chr10	8096152	8096160	9	*	X01226	399717	8092413	8095447	3035	-	704	upstream	704	GATA3-AS1
chr10	15762460	15762487	28	*	X01238	8516	15559088	15761770	202683	-	689	upstream	689	ITGA8
chr10	15762490	15762500	11	*	X01239	8516	15559088	15761770	202683	-	719	upstream	719	ITGA8
chr10	21462578	21462592	15	*	X01242	100128511	21462919	21463852	934	+	326	upstream	326	NEBL-AS1
chr10	22610098	22610112	15	*	X01248	648	22610139	22620414	10276	+	26	upstream	26	BMI1
chr10	23983528	23983554	27	*	X01256	56243	23983675	24836772	853098	+	120	upstream	120	KIAA1217
chr10	25465318	25465327	10	*	X01258	100128811	25447001	25465205	18205	-	112	upstream	112	GPR158-AS1
chr10	26727119	26727127	9	*	X01267	54518	26727266	26856732	129467	+	138	upstream	138	APBB1IP
chr10	28035895	28035932	38	*	X01270	283078	27961803	28034778	72976	-	1116	upstream	1116	MKX
chr10	31609291	31609301	11	*	X01280	220930	31605457	31608024	2568	-	1266	upstream	1266	ZEB1-AS1
chr10	33624818	33624826	9	*	X01282	8829	33466419	33624006	157588	-	811	upstream	811	NRP1
chr10	46971590	46971601	12	*	X01306	83849	46955444	46970601	15158	-	988	upstream	988	SYT15
chr10	48439146	48439157	12	*	X01312	2662	48425788	48439138	13351	-	7	upstream	7	GDF10
chr10	48439171	48439181	11	*	X01313	2662	48425788	48439138	13351	-	32	upstream	32	GDF10
chr10	50817781	50817790	10	*	X01318	6572	50818347	50820766	2420	+	556	upstream	556	SLC18A3
chr10	52750372	52750404	33	*	X01323	5592	52750911	54058110	1307200	+	506	upstream	506	PRKG1
chr10	52750527	52750535	9	*	X01324	5592	52750911	54058110	1307200	+	375	upstream	375	PRKG1
chr10	52750754	52750762	9	*	X01325	5592	52750911	54058110	1307200	+	148	upstream	148	PRKG1
chr10	54073628	54073636	9	*	X01329	100506939	54056608	54073888	17281	-	0	inside	251	PRKG1-AS1
chr10	54073628	54073636	9	*	X01329	22943	54074041	54077417	3377	+	404	upstream	404	DKK1
chr10	57388520	57388531	12	*	X01330	65217	55562533	57387702	1825170	-	817	upstream	817	PCDH15
chr10	57389158	57389194	37	*	X01331	65217	55562533	57387702	1825170	-	1455	upstream	1455	PCDH15
chr10	57389668	57389678	11	*	X01332	65217	55562533	57387702	1825170	-	1965	upstream	1965	PCDH15
chr10	60272341	60272350	10	*	X01337	80114	60272904	60588845	315942	+	553	upstream	553	BICC1
chr10	60272390	60272398	9	*	X01338	80114	60272904	60588845	315942	+	505	upstream	505	BICC1
chr10	60272473	60272490	18	*	X01339	80114	60272904	60588845	315942	+	413	upstream	413	BICC1
chr10	60936230	60936241	12	*	X01340	84457	60936348	61007534	71187	+	106	upstream	106	PHYHIPL
chr10	61470141	61470192	52	*	X01342	220963	61410522	61469649	59128	-	491	upstream	491	SLC16A9
chr10	63660561	63660569	9	*	X01346	84159	63661013	63856707	195695	+	443	upstream	443	ARID5B
chr10	63660702	63660711	10	*	X01347	84159	63661013	63856707	195695	+	301	upstream	301	ARID5B
chr10	72043212	72043232	21	*	X01378	64106	72014713	72043450	28738	-	0	inside	217	NPFFR1
chr10	72970736	72970746	11	*	X01381	219699	72972292	73062635	90344	+	1545	upstream	1545	UNC5B
chr10	75669646	75669665	20	*	X01388	5328	75670862	75677258	6397	+	1196	upstream	1196	PLAU
chr10	77160514	77160525	12	*	X01394	100131213	77161286	77168740	7455	+	760	upstream	760	ZNF503-AS2
chr10	80827525	80827534	10	*	X01415	57178	80828792	81076285	247494	+	1257	upstream	1257	ZMIZ1
chr10	80827664	80827672	9	*	X01416	57178	80828792	81076285	247494	+	1119	upstream	1119	ZMIZ1
chr10	81664880	81664888	9	*	X01425	100288974	81664654	81691574	26921	+	0	inside	225	BMS1P21
chr10	88128172	88128208	37	*	X01452	2894	87359312	88126250	766939	-	1921	upstream	1921	GRID1
chr10	90967774	90967782	9	*	X01458	9023	90965694	90967071	1378	-	702	upstream	702	CH25H
chr10	92922772	92922783	12	*	X01461	84333	92922769	93044088	121320	+	0	inside	2	PCGF5
chr10	95326651	95326659	9	*	X01470	338557	95326422	95349829	23408	+	0	inside	228	FFAR4
chr10	98945734	98945747	14	*	X01484	6585	98757795	98945683	187889	-	50	upstream	50	SLIT1
chr10	98945751	98945760	10	*	X01485	6585	98757795	98945683	187889	-	67	upstream	67	SLIT1
chr10	98945762	98945776	15	*	X01486	6585	98757795	98945683	187889	-	78	upstream	78	SLIT1
chr10	98945780	98945789	10	*	X01487	6585	98757795	98945683	187889	-	96	upstream	96	SLIT1
chr10	98946026	98946069	44	*	X01488	6585	98757795	98945683	187889	-	342	upstream	342	SLIT1
chr10	98946091	98946099	9	*	X01489	6585	98757795	98945683	187889	-	407	upstream	407	SLIT1
chr10	99791983	99792025	43	*	X01495	55118	99624757	99790585	165829	-	1397	upstream	1397	CRTAC1
chr10	100995686	100995696	11	*	X01503	60495	100216834	100995632	778799	-	53	upstream	53	HPSE2
chr10	100997488	100997499	12	*	X01504	60495	100216834	100995632	778799	-	1855	upstream	1855	HPSE2
chr10	101088395	101088407	13	*	X01505	26507	101088856	101154087	65232	+	448	upstream	448	CNNM1
chr10	101089023	101089031	9	*	X01506	26507	101088856	101154087	65232	+	0	inside	166	CNNM1
chr10	101418571	101418581	11	*	X01515	57089	101419263	101471002	51740	+	681	upstream	681	ENTPD7
chr10	101418584	101418595	12	*	X01516	57089	101419263	101471002	51740	+	667	upstream	667	ENTPD7
chr10	102792846	102792854	9	*	X01556	79955	102767440	102790914	23475	-	1931	upstream	1931	PDZD7
chr10	104195912	104195920	9	*	X01611	574447	104196269	104196341	73	+	348	upstream	348	MIR146B
chr10	105036744	105036752	9	*	X01612	9118	105036920	105050108	13189	+	167	upstream	167	INA
chr10	105251788	105251796	9	*	X01616	9148	105253735	105352309	98575	+	1938	upstream	1938	NEURL1
chr10	105251978	105251986	9	*	X01617	9148	105253735	105352309	98575	+	1748	upstream	1748	NEURL1
chr10	106400141	106400150	10	*	X01629	22986	106400859	107024993	624135	+	708	upstream	708	SORCS3
chr10	106400163	106400174	12	*	X01630	22986	106400859	107024993	624135	+	684	upstream	684	SORCS3
chr10	106400298	106400322	25	*	X01631	22986	106400859	107024993	624135	+	536	upstream	536	SORCS3
chr10	106400978	106400988	11	*	X01632	22986	106400859	107024993	624135	+	0	inside	118	SORCS3
chr10	106401004	106401014	11	*	X01633	22986	106400859	107024993	624135	+	0	inside	144	SORCS3
chr10	111966892	111966901	10	*	X01645	4601	111967363	112047123	79761	+	461	upstream	461	MXI1
chr10	115438362	115438402	41	*	X01662	840	115438921	115490668	51748	+	518	upstream	518	CASP7
chr10	115438425	115438437	13	*	X01663	840	115438921	115490668	51748	+	483	upstream	483	CASP7
chr10	115438446	115438454	9	*	X01664	840	115438921	115490668	51748	+	466	upstream	466	CASP7
chr10	115438523	115438536	14	*	X01665	840	115438921	115490668	51748	+	384	upstream	384	CASP7
chr10	115438561	115438570	10	*	X01666	840	115438921	115490668	51748	+	350	upstream	350	CASP7
chr10	118033151	118033159	9	*	X01671	2674	117816442	118033126	216685	-	24	upstream	24	GFRA1
chr10	118033208	118033220	13	*	X01672	2674	117816442	118033126	216685	-	81	upstream	81	GFRA1
chr10	118033223	118033236	14	*	X01673	2674	117816442	118033126	216685	-	96	upstream	96	GFRA1
chr10	118033418	118033428	11	*	X01674	2674	117816442	118033126	216685	-	291	upstream	291	GFRA1
chr10	118033437	118033447	11	*	X01675	2674	117816442	118033126	216685	-	310	upstream	310	GFRA1
chr10	118033449	118033457	9	*	X01676	2674	117816442	118033126	216685	-	322	upstream	322	GFRA1
chr10	118034256	118034266	11	*	X01677	2674	117816442	118033126	216685	-	1129	upstream	1129	GFRA1
chr10	118899291	118899299	9	*	X01685	11023	118888032	118897812	9781	-	1478	upstream	1478	VAX1
chr10	118929132	118929140	9	*	X01688	100500893	118927189	118927285	97	-	1846	upstream	1846	MIR3663
chr10	119306241	119306250	10	*	X01696	196047	119243804	119304579	60776	-	1661	upstream	1661	EMX2OS
chr10	122216280	122216295	16	*	X01714	196051	122216466	122349367	132902	+	170	upstream	170	PLPP4
chr10	124219896	124219903	8	*	X01719	5654	124221041	124274424	53384	+	1137	upstream	1137	HTRA1
chr10	124639955	124639963	9	*	X01724	100533195	124591671	124639157	47487	-	797	upstream	797	FAM24B-CUZD1
chr10	124639955	124639963	9	*	X01724	196792	124608610	124639157	30548	-	797	upstream	797	FAM24B
chr10	124912084	124912108	25	*	X01729	9184	124913760	124924886	11127	+	1651	upstream	1651	BUB3
chr10	125425254	125425265	12	*	X01731	2849	125425871	125456913	31043	+	605	upstream	605	GPR26
chr10	125425275	125425284	10	*	X01732	2849	125425871	125456913	31043	+	586	upstream	586	GPR26
chr10	125853219	125853227	9	*	X01745	51363	125767182	125853123	85942	-	95	upstream	95	CHST15
chr10	126138898	126138906	9	*	X01748	390010	126135998	126138550	2553	-	347	upstream	347	NKX1-2
chr10	128076911	128076940	30	*	X01750	8038	127702902	128077127	374226	-	0	inside	186	ADAM12
